country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,64.89786000000001,137.1548,10.628858,7.521352593666348,98.5085526277136,93.4604812190166,0.26023556144138205,64.75510776100539,0.31241311891818213,62.75285104205217,62.75285104205217
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA,27.95236,116.8834,0.3538584,2.653307795753036,,36.37880552010596,-1.3171022746450132,21.122820146852224,-3.0470101574635153,19.44259703360986,19.44259703360986
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,IBRD,67.03182,152.2732,24.45656,7.85807996612388,,91.35154419001285,0.43294231257048565,69.53251844993422,0.8458417636051713,69.62990349900123,69.62990349900123
MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,13.654478,51.08124,0.06464482,2.972444878865409,,37.441459257690056,-1.867510380767634,5.897442144705491,-4.05898568679474,6.396037067855974,6.396037067855974
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,89.81862,133.4314,10.007078,8.86713653907738,95.19666544596356,75.37044449838028,0.326792048136986,66.59619196227925,0.5936221200070435,66.37824512449619,66.37824512449619
NAC,,,,,90.68,103.92,35.956,11.72450352154594,98.77457275390624,100.57620544433613,0.8575584502091401,81.27824154057454,2.1047346979787314,85.85976448153177,85.85976448153177
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,IBRD,54.37386,104.817,2.879484,5.3435545946639715,,81.18236255857582,-0.5806011442534321,41.495899657280106,-1.3111954875247713,41.82101382769701,41.82101382769701
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,32.499219999999994,91.34268,0.03598998,4.460618838042982,,43.351852416992195,-1.2688356933071367,22.457969352625028,-2.836894424285716,22.151444662034347,22.151444662034347
NLD,Netherlands,Europe & Central Asia,High income,Not classified,92.2173,121.1884,42.84432,11.86786370792458,,128.0636657714844,1.283429098703993,93.05866688538038,2.9295440967211146,96.49334698339462,96.49334698339462
NOR,Norway,Europe & Central Asia,High income,Not classified,97.41986,109.0496,43.75802,10.513873780715803,,119.267398071289,1.0797514619886122,87.42454017997765,2.5135400344407417,91.13015213605985,91.13015213605985
NPL,Nepal,South Asia,Lower middle income,IDA,39.995,134.11020000000002,3.994829999999999,5.495078489708136,,83.40371962998142,-0.4488833788094295,45.139473845550256,-1.1273399321324826,44.19131079530025,44.19131079530025
NZL,New Zealand,East Asia & Pacific,High income,Not classified,93.28144,120.5704,34.8045,9.830978231927425,,116.3881896972654,0.9254734744982608,83.15690558153705,2.1082362668756716,85.90490730096172,85.90490730096172
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,92.29516,138.0912,10.653414,5.469997864586861,96.62999979654948,97.37762225620789,0.32820412225032114,66.6352527281063,0.542884447515138,65.72412645511899,65.72412645511899
