country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
NLD,-41.56,-23.67,-0.48,-18.41,79.28696666666667,,77.4278,,,,,,,,,,,78.74015,
NOR,-85.93,-27.08,-0.47,-34.32,57.85332666666667,48.0,75.15,,,,,,,,,,,66.2,55.6
NPL,-8.58,-2.16,-3.06,-1.9,,,,,,,,,,,,,,,
NRU,-0.0,-62.1,-3.58,-62.1,,,,,,,,,,,,,,,
NZL,-36.91,-23.28,-0.69,-11.92,,,,,,,,,,,,,,,
OMN,-73.73,-7.28,-0.83,-9.36,93.46495,53.82358000000001,79.6111,,,14.3741,76.0,16.4337,71.8809,17.2714,70.2055,62.6043,21.072,54.2284,70.1948
PAK,-4.92,-2.13,-2.07,-1.71,,,,,,,,,,,,,,,
PAN,-39.59,-21.4,-1.42,-21.4,,,,,,,,,,,,,,,
PER,-18.87,-7.56,-1.12,-7.56,24.7793,22.614966666666664,64.3673,,,,,,,,,,,18.90374,
PHL,-15.51,-6.18,-2.4,-6.04,,,,,,,,,,,,,,,
PLW,-63.6,-26.5,-2.12,-26.5,,,,,,,,,,,,,,,
PNG,-7.46,-28.0,-11.63,-28.5,,,,,,,,,,,,,,,
POL,-16.26,-7.5,-0.37,-7.5,42.21897333333333,32.33969,53.9397,22.7752,48.341,14.4489,26.0882,10.0381,74.5315,11.5559,63.3337,,,45.91845,
PRI,-26.75,-16.73,-0.77,-16.73,,,,,,,,,,,,,,,
PRK,-0.0,,,,,,,,,,,,,,,,,,
PRT,-15.78,-8.42,-0.37,-8.42,52.23656666666667,21.613466666666667,67.92516666666667,19.4713,60.3893,11.5668,42.4858,9.73971,70.0828,18.5968,51.0024,,,48.4941,18.4446
